Order	Coral_Species	Phylotype
1	Acanthastrea echinata	C3
2	Acanthastrea echinata	C3
3	Acanthastrea echinata	C3u
4	Acanthastrea echinata	C3u
5	Acanthastrea echinata	D1-4
6	Acanthastrea hemprichii	C1
7	Acanthastrea hemprichii	C3u
8	Acanthastrea hemprichii	C3u
9	Acropora abrotanoides	A1
10	Acropora abrotanoides	A1.4
11	Acropora abrotanoides	C21.12
12	Acropora abrotanoides	C3
13	Acropora abrotanoides	C3
14	Acropora abrotanoides	C3
15	Acropora abrotanoides	C3
16	Acropora abrotanoides	C3
17	Acropora abrotanoides	C3
18	Acropora abrotanoides	C3.21
19	Acropora abrotanoides	C3.23
20	Acropora abrotanoides	C3.24
21	Acropora abrotanoides	C3z
22	Acropora aculeus	C3
23	Acropora aculeus	C3
24	Acropora aculeus	C3h
25	Acropora aculeus	D2
26	Acropora acuminata	C3
27	Acropora acuminata	C3
28	Acropora acuminata	C3
29	Acropora acuminata	C3
30	Acropora acuminata	C3
31	Acropora acuminata	C3
32	Acropora acuminata	C3
33	Acropora acuminata	C3
34	Acropora acuminata	C3
35	Acropora anthocercis	C3
36	Acropora aspera	C3
37	Acropora aspera	C3
38	Acropora aspera	C3
39	Acropora aspera	C3
40	Acropora aspera	C3
41	Acropora aspera	C3
42	Acropora aspera	C3
43	Acropora aspera	C3
44	Acropora aspera	C3
45	Acropora aspera	C3
46	Acropora aspera	C3
47	Acropora aspera	C3
48	Acropora aspera	C3
49	Acropora aspera	C3
50	Acropora aspera	C3
51	Acropora aspera	C3
52	Acropora aspera	C3
53	Acropora aspera	C3
54	Acropora aspera	C3
55	Acropora aspera	C3
56	Acropora aspera	C3
57	Acropora aspera	C3
58	Acropora aspera	C3
59	Acropora aspera	C3
60	Acropora aspera	C3
61	Acropora aspera	C3
62	Acropora aspera	C3
63	Acropora aspera	C3
64	Acropora aspera	C3
65	Acropora aspera	C3
66	Acropora aspera	C3
67	Acropora aspera	C3
68	Acropora aspera	C3
69	Acropora aspera	C3
70	Acropora aspera	C3
71	Acropora aspera	C3
72	Acropora aspera	C3
73	Acropora aspera	C3
74	Acropora aspera	C3
75	Acropora aspera	C3
76	Acropora aspera	C3i
77	Acropora aspera	C3i
78	Acropora aspera	C3i
79	Acropora aspera	C3i
80	Acropora aspera	C3i
81	Acropora aspera	C3i
82	Acropora aspera	C3i
83	Acropora aspera	C3i
84	Acropora aspera	C3i
85	Acropora aspera	C3i
86	Acropora aspera	C3u
87	Acropora aspera	C3u
88	Acropora aspera	C3u
89	Acropora aspera	C3u
90	Acropora aspera	C3z
91	Acropora aspera	D1-4
92	Acropora austera	C101
93	Acropora austera	C101
94	Acropora austera	C3
95	Acropora austera	C3u
96	Acropora austera	C3u
97	Acropora austera	C3u
98	Acropora austera	C3u
99	Acropora austera	C3u
100	Acropora austera	C3z
101	Acropora austera	C3z
102	Acropora cerealis	C1
103	Acropora cerealis	C101
104	Acropora cerealis	C3
105	Acropora cerealis	C3
106	Acropora cerealis	C3
107	Acropora cerealis	C3
108	Acropora cerealis	C3
109	Acropora cerealis	C3
110	Acropora cerealis	C3i
111	Acropora cerealis	C3i
112	Acropora cerealis	C3i
113	Acropora cerealis	C3i
114	Acropora cerealis	C3i
115	Acropora cerealis	C3i
116	Acropora cerealis	C3k
117	Acropora cerealis	D1
118	Acropora cervicornis	A3
119	Acropora cervicornis	A3
120	Acropora cervicornis	A3
121	Acropora cervicornis	A3
122	Acropora cervicornis	A3
123	Acropora cervicornis	A3
124	Acropora cervicornis	A3
125	Acropora cervicornis	A3
126	Acropora cervicornis	A3
127	Acropora cervicornis	A3
128	Acropora cervicornis	A3
129	Acropora cervicornis	A3
130	Acropora cervicornis	A3
131	Acropora cervicornis	A3
132	Acropora cervicornis	A3
133	Acropora cervicornis	A3
134	Acropora cervicornis	A3
135	Acropora cervicornis	A3
136	Acropora cervicornis	A3
137	Acropora cervicornis	A3
138	Acropora cervicornis	A3
139	Acropora cervicornis	A3
140	Acropora cervicornis	A3
141	Acropora cervicornis	A3
142	Acropora cervicornis	A3
143	Acropora cervicornis	A3
144	Acropora cervicornis	A3
145	Acropora cervicornis	A3
146	Acropora cervicornis	A3
147	Acropora cervicornis	A3
148	Acropora cervicornis	C12
149	Acropora cervicornis	C94a
150	Acropora cervicornis	D1-4
151	Acropora cervicornis	D1-4
152	Acropora clathrata	C21
153	Acropora clathrata	C3
154	Acropora clathrata	C3
155	Acropora clathrata	C3
156	Acropora clathrata	C3
157	Acropora clathrata	C3
158	Acropora clathrata	C3
159	Acropora clathrata	C3
160	Acropora clathrata	C3
161	Acropora clathrata	C3
162	Acropora clathrata	C3z
163	Acropora clathrata	C3z
164	Acropora cytherea	A1
165	Acropora cytherea	A1
166	Acropora cytherea	A1
167	Acropora cytherea	A1
168	Acropora cytherea	A1
169	Acropora cytherea	A1
170	Acropora cytherea	A1
171	Acropora cytherea	A1
172	Acropora cytherea	A1.3
173	Acropora cytherea	C1
174	Acropora cytherea	C1
175	Acropora cytherea	C1
176	Acropora cytherea	C1
177	Acropora cytherea	C1
178	Acropora cytherea	C1
179	Acropora cytherea	C1
180	Acropora cytherea	C1
181	Acropora cytherea	C1
182	Acropora cytherea	C1
183	Acropora cytherea	C1
184	Acropora cytherea	C1
185	Acropora cytherea	C1c
